sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,res1,gpt_props1,res2,gpt_props2,res3,gpt_props3,props_a_majority,props_gpt_majority,ann_gpt_agreemnt,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency
369,[4 3],"To bless always means that something shall flourish, because only then when there is a blessing upon a cause or a project, will something good come out of it.",Tense,['present'],"['future', 'present']",['present'],,[],,[],,[],['present'],['present'],1,['present'],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'shall' indicates future tense in the statement.""
}",['future'],"{
  ""Properties"": [""future""],
  ""Explanation"": ""The use of 'shall' indicates a future action, expressing something that has yet to happen.""
}",['future'],"{
  ""Properties"": [""present"", ""future""],
  ""Explanation"": ""The use of 'means', 'shall', and 'will' indicate the present and future tenses.""
}","['present', 'future']",0
375,[4],"Despite the fact that it was instituted by God Himself, growing numbers of Catholics actually consider it immoral.",Tense,"['past', 'present']","['past', 'present']",['past'],,[],,[],,[],"['past', 'present']",['past'],0,['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The sentence uses the past tense 'was instituted' to indicate an action that has already happened.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'was instituted' indicates that the action already happened in the past.""
}",['past'],"{
  ""Properties"": [""past"", ""progression""],
  ""Explanation"": ""The use of 'was' indicates past tense, and the shift to present tense 'growing' in the same sentence creates a progression effect.""
}","['past', 'progression']",0
387,[4],"On the one hand, it could refuse to grant Trump what he wanted and let the records be released, which it knew would point to the CIA’s guilt in the assassination.",Tense,['past'],['past'],['past'],,[],,[],,[],['past'],['past'],1,['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The example uses the past tense 'refuse' and 'let' to express actions that have already happened.""
}",['past'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'could refuse' (present tense) and 'let' (infinitive form) for the immediate effect and to emphasize potential actions. Also, the changing tense in the middle of the sentence ('could refuse' to 'let') creates a progression for rhetorical effect.""
}","['present', 'progression']","{
  ""Properties"": [
    ""past"",
    ""progression""
  ],
  ""Explanation"": ""The use of 'could' indicates a past possibility, and the shift from 'could' to 'knew' in the same sentence demonstrates tense progression for rhetorical effect.""
}","['past', 'progression']",0
392,[ 9 13  4],"“Their only defense was that the activities they described were either non-partisan or were not officially taken by the company,” Carlson said Monday night, describing Google’s official response to his requests for comment, before challenging the company’s response: “But of course they were both.",Tense,['past'],"['past', 'present']",['past'],,[],,[],,[],['past'],['past'],1,['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'said' and 'described' indicates past tense, as they refer to actions or events that have already taken place.""
}",['past'],"{
  ""Properties"": [""past"", ""present""],
  ""Explanation"": ""The text uses the past tense to describe what Carlson said and the present tense to describe a current challenge to the company's response.""
}","['past', 'present']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense ('described', 'were not officially taken') to express actions that already happened.""
}",['past'],0
405,[5 4 8 8 9],"So, according to Faggioli, the same Pope who sacks conservative bishops and cardinals according to his pleasure and has just removed a cardinal from the College of Cardinals in an unprecedented disciplinary act under fire from the media, is somehow powerless to dismiss Modernist bishops who have created an obscene “gay culture” in the Church and replace them with orthodox, normal heterosexual males.",Tense,['present'],['present'],['present'],,[],,[],,[],['present'],"['past', 'present']",0,"['past', 'present']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The example uses the past tense to describe actions that have already occurred, such as 'sacks', 'has just removed', and 'have created'.""
}",['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses present tense 'sacks', 'has just removed' for immediacy effect and past tense 'removed' for expressing something that already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses the present tense to emphasize the actions of the Pope, and there is a change in tense from past to present for rhetorical effect.""
}","['present', 'progression']",0
417,[4],That’s why they had shots fired from the front and placed Oswald in the rear.,Tense,['past'],"['past', 'present']",['past'],,[],,[],,[],['past'],['past'],1,['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The sentence is in the past tense, indicating that the event has already occurred.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense 'had' and 'placed' to express that something already happened.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The example uses the past tense to indicate that the events have already taken place.""
}",['past'],1
474,[4 9],This leftwing witch hunt has been ongoing since day one of Trump’s presidency in order to impair and impede his ability to get the job done.,Tense,['present'],['present'],['past'],,[],,[],,[],['present'],"['past', 'present']",0,"['past', 'present']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The sentence uses the past tense 'has been ongoing' to indicate that the leftwing witch hunt has been underway since the beginning of Trump's presidency.""
}",['past'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'has been' indicates the present perfect tense, giving the sense of ongoing action, and the shift to 'impair and impede' in the same sentence creates a tense progression for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'has been ongoing' indicates the present perfect tense, emphasizing the ongoing nature of the action. This creates a sense of immediacy. The change from 'has been ongoing' to 'impair and impede' also creates a progression in tense for effect.""
}","['present', 'progression']",0
476,[4],The former recognizes that an armed populace is a threat to any tyrant and pushes for gun control out of self-preservation.,Tense,['present'],['present'],['present'],,[],,[],,[],['present'],"['past', 'present']",0,"['past', 'present']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'recognizes' is in the present tense, and a change of tense occurs with the phrase 'is a threat' for emphasis and effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The sentence uses the present tense to emphasize the ongoing nature of the recognition, and then switches to past tense in the middle of the sentence to express the push for gun control as a distinct action.""
}","['present', 'progression']","{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'recognizes' and 'pushes' indicates that the present tense is used to emphasize the current actions and beliefs of the subject.""
}",['present'],0
514,[5 7],"Instead of preaching out against sin, they advocate for that which God clearly condemns, thereby making war against God (Micah 3:5), which at length destroys our government, our country and our families.",Tense,['present'],['present'],['present'],,[],,[],,[],['present'],"['past', 'present']",0,"['past', 'present']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'advocate' and 'condemns' in the present tense emphasizes the ongoing nature of the action. Additionally, the switch from 'advocate' to 'condemns' in the middle of the sentence creates a tense progression for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression"", ""future""],
  ""Explanation"": ""The passage uses the present tense ('advocate', 'condemns') for immediacy effect and uses a change in tense from present to future ('destroys') for progression and effect.""
}","['present', 'progression', 'future']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'advocate' and 'destroys' in the same sentence creates a progression in tense, with 'advocate' in present tense and 'destroys' in future tense.""
}","['present', 'progression']",0
515,[5 8 4],"Wicked men in the sight of God are those who have the knowledge of what to do when it comes to the right, but over and over again, they turn their shoulders and choose the wrong, through tolerance and apathy Americans are bringing upon themselves destruction (Deuteronomy 30:19) that will not be reversed, which leaves no alternative as to why God judges and is judging America today (Deuteronomy 28:63).",Tense,"['future', 'present']","['future', 'present']",['present'],,[],,[],,[],"['future', 'present']","['future', 'present']",1,"['future', 'present']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses the present tense to emphasize the immediate and ongoing nature of the actions ('are,' 'have,' 'is,' 'judges,,' 'is judging'). It also employs tense progression to emphasize the contrast between the past and present actions ('are' to 'will be' to 'is,' 'is judging').""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The example uses the present tense to emphasize the actions ('have', 'turn', 'choose', 'are bringing'), along with a change in tense mid-sentence from present to future ('will not be reversed'), which creates a sense of progression for emphasis.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses the present tense to describe a current state of affairs and the progression of tenses within the sentence 'through tolerance and apathy Americans are bringing... which leaves no alternative as to why God judges and is judging America today'."" 
}","['present', 'progression']",1
532,[5 8],"While we may never know what actually happened during the Las Vegas Massacre, the fact remains that the official story has been proven, time and time again, to be absolutely false and in fact nothing more than a pathetic attempt at a cover-up.",Tense,"['past', 'present']","['past', 'present']",['present'],,[],,[],,[],"['past', 'present']","['past', 'present']",1,"['past', 'present']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense in 'the fact remains' to emphasize the current status of something, and it uses the past tense in 'has been proven' to express that something has already happened.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses the present tense 'has been proven' to emphasize the ongoing impact of the official story being false, and the past tense 'happened' to refer to the Las Vegas Massacre as something that already occurred.""
}","['present', 'past']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to describe events that have already occurred, such as 'has been proven' and 'happened'.""
}",['past'],0
595,[9 5],The four page email begins with Murillo claiming she and others at Google were engaged in non-partisan activities not designed to help any one candidate or another—only to undercut her own commentary in later passages in the emails by openly admitting the entire effort to boost Latino turnout using Google products with official company resources was to elect Clinton over Trump.,Tense,"['past', 'present']","['past', 'present']",['present'],,[],,[],,[],"['past', 'present']",['past'],0,['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The example uses the past tense to describe events that have already occurred, such as 'claimed' and 'were engaged'.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The example uses the past tense to describe actions that have already happened, such as 'begins', 'claimed', 'were engaged', 'undercut', 'admitting', and 'was'. This indicates that the focus is on events that have already taken place.""
}",['past'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The text uses present tense to describe the initial claim by Murillo, and then switches to past tense to describe her later contradictory statements for effect.""
}","['present', 'progression']",0
650,[5 8],She offered no evidence — nor was asked for any — to back her grave allegations.,Tense,['past'],['past'],['past'],,[],,[],,[],['past'],['past'],1,['past'],"{
  ""Properties"": [
    ""past""
  ],
  ""Explanation"": ""The use of 'offered' and 'was asked' indicates past tense, as the action is already completed.""
}",['past'],"{
  ""Properties"": [""past"", ""progression""],
  ""Explanation"": ""The sentence uses the past tense 'offered', and then switches to present tense 'is asked' for a progressive effect.""
}","['past', 'progression']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'offered' and 'was asked' indicates the past tense, showing that the action has already happened.""
}",['past'],0
659,[5],"“Under these circumstances, we did not have confidence that Strzok’s decision to prioritize the Russia investigation over following up on the Midyear-related investigative lead discovered on the Weiner laptop was free from bias,” the report said.",Tense,['past'],['past'],['past'],,[],,[],,[],['past'],['past'],1,['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The example text uses the past tense to indicate that the action of not having confidence in Strzok’s decision occurred in the past.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to describe an action that has already happened.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The example text uses the past tense to express something that already happened.""
}",['past'],1
747,[9 5],"And finally, in a bizarre tweet, Greenwald opined, “I hope the story [maligning Assange] turns out true” – apparently because maintenance of the Guardian’s reputation is more important than Assange’s fate and the right of journalists to dig up embarrassing secrets without fear of being imprisoned.",Tense,['present'],"['past', 'present']",['past'],,[],,[],,[],['present'],['past'],-1,['past'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The present tense is used in the first part of the sentence ('Greenwald opined') for immediacy effect. The tense then changes to the future tense ('turns out true') in the quoted tweet for progression and to emphasize the hypothetical scenario.""
}","['present', 'progression']","{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'opined' and 'turns out' indicates present tense, which is commonly used in news headlines for immediacy effect or to emphasize an action.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'opined' and 'turns out true' indicates the use of present tense to emphasize the action and immediacy effect in the tweet.""
}",['present'],0
748,[5 9],"Rather than being the reason for the Guardian violating basic journalistic standards and ethics, the paper’s hatred of Assange is a symptom of a deeper malaise in the Guardian and the wider corporate media.",Tense,['present'],['present'],['present'],,[],,[],,[],['present'],['past'],-1,['past'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The text uses the present tense to emphasize an ongoing situation, indicating that the Guardian's violation of standards is still relevant.""
}",['present'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'is' and 'hatred' indicates a present tense, and the shift from 'being' to 'is' in the sentence creates a progression, emphasizing the point being made.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'is' and 'hatred' demonstrates the use of present tense for immediacy effect, while the change from 'being' (present progressive) to 'is' (present simple) in the same sentence creates a progression in tense for rhetorical effect.""
}","['present', 'progression']",0
751,[5 9],"The Guardian has painted social media chiefly as a platform overrun by Russian trolls, arguing that this should justify ever-tighter restrictions that have so far curbed critical voices of the dissident left more than the right.",Tense,['present'],['present'],['past'],,[],,[],,[],['present'],"['past', 'present']",0,"['past', 'present']","{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'has painted' reflects the present tense, which is often used in news headlines for immediacy effect or to emphasize an action.""
}",['present'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The present tense is used in the beginning of the sentence to emphasize the ongoing portrayal of social media, and then switches to past tense ('arguing', 'have so far curbed') to describe the actions and their consequences.""
}","['present', 'progression']","{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'has painted' indicates a present action to emphasize the ongoing effect on social media. Additionally, the change from 'has painted' to 'arguing' in the same sentence creates a progression for effect.""
}","['present', 'progression']",0
804,[5],"Las Vegas police said Friday that the gunman who opened fire on a country music festival far below his hotel suite did not shoot a security guard six minutes before that rampage, contradicting a timeline they had offered earlier this week….",Tense,['past'],['past'],['past'],,[],,[],,[],['past'],['past'],1,['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'said', 'did not shoot', 'had offered' indicate that the text is discussing events that have already happened, hence the use of past tense.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to describe events that have already happened, such as 'police said', 'the gunman who opened fire', 'did not shoot', and 'contradicting a timeline'.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to describe the actions and statements of the Las Vegas police and the gunman, as they are referring to events that have already occurred.""
}",['past'],1
852,[5],"On top of that, we have questions as to whether the body was even that of Stephen Paddock, given the fact that certain elements of the Paddock in the preliminary police report, which mentioned the autopsy, are apparently at odds with the Paddock of other documentation.",Tense,"['past', 'present']","['past', 'present']",['present'],,[],,[],,[],"['past', 'present']","['past', 'present']",1,"['past', 'present']","{
  ""Properties"": [""past"", ""progression""],
  ""Explanation"": ""The text uses past tense to express something that has already happened, and also changes tense in the middle of a sentence for effect, indicating a progression of time and information.""
}","['past', 'progression']","{
  ""Properties"": [""past"", ""progression""],
  ""Explanation"": ""The text uses the past tense to describe events that have already happened. It also switches to present tense in the middle of the sentence to emphasize the conflicting information, creating a tense progression for effect.""
}","['past', 'progression']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to describe events that have already happened, such as 'the body was' and 'mentioned the autopsy'.""
}",['past'],0
863,[5],Capitol Police didn’t make arrests despite numerous red flags and then ‘inadvertently’ gave evidence to defense attorneys that was supposed to go to prosecutors,Tense,['past'],['past'],['past'],,[],,[],,[],['past'],['past'],1,['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'didn’t make' and 'was supposed' indicates that the actions happened in the past.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'didn’t', 'made', 'arrests' and 'gave' indicates the use of past tense, expressing something that already happened.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'didn't make' and 'was supposed' indicate that the events have already occurred, placing the focus on past actions.""
}",['past'],1
900,[6 9],His warning against making the resistance to jihad a “battle between us and the entire religion” is odd.,Tense,['present'],['present'],['present'],,[],,[],,[],['present'],['past'],-1,['past'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of present tense in 'is' emphasizes the oddness of the warning, adding immediacy and impact to the statement.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'is' in the sentence indicates a present tense.""
}",['present'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'is' in the sentence indicates present tense, while the change from 'against making' (present participle) to 'is' (indicative) demonstrates a change in tense for effect.""
}","['present', 'progression']",0
929,[13  6],"Beyond pressuring our allies, consider these specific steps President Trump has taken against Russia: Where President Obama refused to provide serious weapons to the Ukrainians to help them defend themselves (his response was weakness on a pathetic scale), President Trump has approved the sale of offensive weapons to enable the Ukrainians to increase the cost of Russian aggression.",Tense,"['past', 'present']","['past', 'present']",['past'],,[],,[],,[],"['past', 'present']","['past', 'present']",1,"['past', 'present']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to describe specific actions taken by President Trump against Russia, such as 'has approved' and 'refused'.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses past tense to describe actions taken by President Trump and President Obama in the past.""
}",['past'],"{
  ""Properties"": [""past"", ""progression""],
  ""Explanation"": ""The text includes the past tense 'has taken' to refer to President Trump's actions, and a change in tense from past ('refused') to present ('has approved') for effect.""
}","['past', 'progression']",0
953,[6],"And it gets even worse: “The investigation, published Wednesday by the House Permanent Subcommittee on Investigations, further discloses secret efforts by top Obama administration officials to assure European countries they would receive a pass from U.S. sanctions if they engaged in business with Iran.”",Tense,"['past', 'present']","['past', 'present']",['past'],,[],,[],,[],"['past', 'present']","['past', 'present']",1,"['past', 'present']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The example uses the past tense 'published' and 'discloses' to indicate that the investigation and its findings have already occurred.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text uses the past tense to describe the publication of the investigation and the disclosure of secret efforts by the Obama administration officials.""
}",['past'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'gets' and 'published' in the present tense creates immediacy and emphasizes the ongoing nature of the situation.""
}",['present'],0
963,[6],"An Arizona man who sold ammunition to the gunman in the deadliest mass shooting in modern U.S. history was disturbed that he didn't spot any suspicious signs about his one-time customer, the man's lawyer said Wednesday.",Tense,['past'],['past'],['past'],,[],,[],,[],['past'],['past'],1,['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The example text uses the past tense to express an action that already happened ('was disturbed', 'didn't spot').""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The text is written in the past tense, indicating that the events described have already taken place.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The entire sentence is written in the past tense, indicating that the events described have already occurred.""
}",['past'],1
994,[8 6],"“I’ve never understood how chaos, anarchy and illegal border crossings are viewed as something good in a country like Germany, which we view as the best example of discipline and the rule of law,” he said.",Tense,"['past', 'present']","['past', 'present']",['past'],,[],,[],,[],"['past', 'present']",['past'],0,['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text contains the use of present tense ('are viewed') and past tense ('said'). The present tense is used to emphasize the ongoing perception, while the past tense is used to indicate the action of speaking in the past.""
}","['present', 'past']","{
  ""Properties"": [""present"", ""past"", ""progression""],
  ""Explanation"": ""The text uses the past tense 'said' to report the direct speech, and the present tense 'are viewed' to describe a general truth, thus demonstrating a mix of past and present tenses for rhetorical effect.""
}","['present', 'past', 'progression']","{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The text uses both present tense ('are viewed') and past tense ('viewed') to express different aspects of the speaker's thoughts and opinions.""
}","['present', 'past']",0
1040,[5 6 8],"The telling details of Archbishop Viganò’s testimony concerning Bergoglio’s friendly relations with McCarrick before he finally had to cut him loose—details conveniently ignored by Winters, Allen and Shea—are utterly devastating to any defense of Bergoglio.",Tense,"['past', 'present']","['past', 'present']",['present'],,[],,[],,[],"['past', 'present']",['past'],0,['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The entire sentence is in the past tense, indicating that the action or event has already occurred.""
}",['past'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of present tense in 'details conveniently ignored' emphasizes the current relevance of the action.""
}",['present'],"{
  ""Properties"": [""past"", ""progression""],
  ""Explanation"": ""The text uses the past tense to describe actions that have already happened ('cut him loose') and also changes tense in the middle of a sentence for effect ('are utterly devastating').""
}","['past', 'progression']",0
1042,[6],Any purge would empty parishes and religious orders of the thousands of priests and bishops who lead healthy lives of service and faithful lives of celibacy.”,Tense,['present'],"['future', 'present']",['present'],,[],,[],,[],['present'],['future'],-1,['future'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'lead' and 'empty' indicates the present tense, suggesting immediacy and emphasizing the potential impact of the purge.""
}",['present'],"{
  ""Properties"": [
    ""future""
  ],
  ""Explanation"": ""The sentence uses the future tense to express something that has yet to happen ('would empty').""
}",['future'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The sentence uses the present tense 'empty' and 'lead' to emphasize the potential immediate impact of a purge on parishes and religious orders.""
}",['present'],0
1060,[5 6],That’s because he failed to conclude his article with one great big important point about former CIA Director Richard Helms.,Tense,['past'],"['past', 'present']",['past'],,[],,[],,[],['past'],['past'],1,['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The use of 'failed' is in the past tense, indicating an action that already happened. 'Conclude' is in the present tense, indicating the author's criticism of the present moment.""
}","['present', 'past']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'failed' and 'concluded' indicates that the text is discussing a past event.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The example uses the past tense 'failed' and 'concluded' to describe actions that already happened.""
}",['past'],0
1100,[6],"In December it successfully carried out the most-distant course-correction manoeuvre ever, with the mission team guiding it towards a close-encounter with a KBO scheduled for 1 January 2019.",Tense,['past'],['present'],['past'],,[],,[],,[],['past'],"['past', 'future']",0,"['past', 'future']","{
  ""Properties"": [""past"", ""future""],
  ""Explanation"": ""The use of 'in December' indicates a past action, and the mention of '1 January 2019' indicates a future action.""
}","['past', 'future']","{
  ""Properties"": [
    ""present"",
    ""progression"",
    ""future""
  ],
  ""Explanation"": ""The sentence uses the present tense 'it successfully carried out' for immediacy effect, shifts to past tense 'with the mission team guiding', and ends with the future tense 'scheduled for 1 January 2019'. The progression of tenses creates a dynamic effect in the sentence.""
}","['present', 'progression', 'future']","{
  ""Properties"": [""past"", ""future""],
  ""Explanation"": ""The sentence uses the past tense 'carried out' to describe an action that has already happened, and the future tense 'scheduled' to describe an action that will happen in the future.""
}","['past', 'future']",0
1145,[9 8 6],To call them nativists and parade their moral superiority.,Tense,['present'],['present'],[],,[],,[],,[],['present'],['present'],1,['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of present tense ('call', 'parade') emphasizes the immediacy and directness of the action in the sentence.""
}",['present'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'call' (present tense) indicates immediacy and the change to 'parade' presents a progression of tense for effect.""
}","['present', 'progression']","{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'call' and 'parade' indicates the present tense, which is often used to emphasize an action or immediacy effect.""
}",['present'],0
1194,[6 9],"Julian Assange called it ""a hack job in the purest sense of the term"".",Tense,['past'],['past'],['past'],,[],,[],,[],['past'],[],-1,[],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'called' indicates the present tense, which is often used in headlines for immediacy effect or to emphasize an action.""
}",['present'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of the past tense 'called' indicates that the action has already taken place.""
}",['past'],"{
    ""Properties"": [""past""],
    ""Explanation"": ""The sentence uses the past tense to describe an action that has already occurred ('called').""
}",['past'],0
1225,[6],Democratic Illinois Rep. Danny Davis defended Nation of Islam leader Louis Farrakhan as an “outstanding human being” on Monday.,Tense,['past'],['past'],['past'],,[],,[],,[],['past'],['past'],1,['past'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'defended' and 'is' in the present tense emphasizes the immediacy of the action and the statement being made by the Illinois Rep.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'defended' and 'is' indicates the present tense, creating an immediate effect in the headline.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The present tense is used in the headline to emphasize the immediacy of the action being defended by Rep. Danny Davis.""
}",['present'],1
1234,[7],"He was treated very unfairly by our government!""",Tense,['past'],['past'],['past'],,[],,[],,[],['past'],"['abstractions', 'humans']",-1,"['abstractions', 'humans']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The example uses the past tense 'was treated' to express something that already happened.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'was treated' indicates the past tense, expressing something that already happened.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The example uses the past tense 'was treated' to express something that has already happened.""
}",['past'],1
1284,[7 8],"I hope the American people can see through this sham, that you knew about it and you held it.""",Tense,"['past', 'present']","['past', 'present']",['present'],,[],,[],,[],"['past', 'present']","['past', 'present']",1,"['past', 'present']","{
  ""Properties"": [""present""],
  ""Explanation"": ""The example uses the present tense 'hope' to express the speaker's current state of mind and feeling.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The example uses present tense 'hope', 'can', 'see', 'knew' and 'held' for immediacy effect and to emphasize the action.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'hope' and 'can see' indicates the present tense, which is often used to emphasize an action in the moment.""
}",['present'],1
1311,[ 8  7 14  6],"As Trump grandly proclaimed, Americans no longer have to fear North Korea and can sleep peacefully at night!",Tense,"['past', 'present']","['past', 'present']",['past'],,[],,[],,[],"['past', 'present']",['past'],0,['past'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The use of 'proclaimed' and 'have' indicates present tense and immediacy effect.""
}",['present'],"{
  ""Properties"": [
    ""present""
  ],
  ""Explanation"": ""The text uses the present tense to emphasize the immediacy and impact of Trump's proclamation, adding a sense of urgency and importance to the statement.""
}",['present'],"{
  ""Properties"": [""present""],
  ""Explanation"": ""The text uses the present tense 'proclaimed' for immediacy effect and to emphasize Trump's action.""
}",['present'],1
1332,[7 8],These pardons cleanse another stain from our nation's history in the dark years of Obama.,Tense,['present'],['present'],['present'],,[],,[],,[],['present'],['past'],-1,['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'years of Obama' indicates that the action of 'cleanse' has already happened in the past.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'pardons' and 'history' indicate that the sentence is referring to something that has already happened, so the past tense is used.""
}",['past'],"{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'pardons' and 'in the dark years of Obama' indicates a past tense, expressing something that already happened.""
}",['past'],1
1354,[7],"“I have, on numerous occasions, noted our intelligence findings that Russians attempted to interfere in our elections.",Tense,"['past', 'present']","['past', 'present']","['past', 'present']",,[],,[],,[],"['past', 'present']",['present'],0,['present'],"{
  ""Properties"": [""present"", ""progression""],
  ""Explanation"": ""The use of 'have' and 'noted' indicate present tense, while changing to past tense with 'attempted' is used for progression.""
}","['present', 'progression']","{
  ""Properties"": [""past""],
  ""Explanation"": ""The use of 'noted' indicates that the action of noting the intelligence findings has already happened, placing the statement in the past."" 
}",['past'],"{
  ""Properties"": [""present"", ""past""],
  ""Explanation"": ""The use of 'have' indicates the present perfect tense, while 'noted' indicates simple past tense.""
}","['present', 'past']",0
