sentence_id,technique,text,feature_id,props_a20,props_a21,props_a22,annotator_consistency,props_gpt4_majority,res_1.0_1,gpt_props_1.0_1,res_1.0_2,gpt_props_1.0_2,res_1.0_3,gpt_props_1.0_3,gpt3.5_1.0_consistency,res_0.2_1,gpt_props_0.2_1,res_0.2_2,gpt_props_0.2_2,res_0.2_3,gpt_props_0.2_3,gpt3.5_0.2_consistency,gpt3.5_0.2_majority
956,[6],Nothing good can be said about his four years of sanctimony and incompetence.,Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'can' and 'be' in the sentence indicates a hypothetical or imagined situation, making it subjunctive.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'can' and 'be' indicates a hypothetical or imagined situation, fitting the definition of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The sentence uses 'can be said,' expressing what is imagined or hypothetical.""
}",['subjunctive'],True,"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'can be' indicates a hypothetical or imagined situation, fitting the definition of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'can be' indicates a hypothetical or possible situation, fitting the definition of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about his four years of sanctimony and incompetence.""
}",['indicative'],0,['subjunctive']
1042,[6],Any purge would empty parishes and religious orders of the thousands of priests and bishops who lead healthy lives of service and faithful lives of celibacy.”,Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'would' indicates a hypothetical situation, expressing what is imagined or hypothetical, making it subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'would' indicates a hypothetical or possible scenario, making it a clear example of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive"", ""indicative""],
  ""Explanation"": ""The use of 'would' indicates a hypothetical or possible situation, suggesting the use of the subjunctive mood. Additionally, the statement expresses a simple statement of fact or opinion, indicating the indicative mood.""
}","['subjunctive', 'indicative']",False,"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'would' indicates a hypothetical or possible situation, making it an example of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'would' indicates a hypothetical or possible situation, making it subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'would' indicates a hypothetical or possible situation, making it subjunctive mood.""
}",['subjunctive'],1,['subjunctive']
1145,[9 8 6],To call them nativists and parade their moral superiority.,Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The sentence contains an imperative form, as it is giving a directive or command.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The sentence contains a directive or command to 'call them nativists and parade their moral superiority.'""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The sentence is giving a directive or command to 'call them nativists' and 'parade their moral superiority'.""
}",['imperative'],True,"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The text contains an imperative mood, as it is giving a directive or command to 'call them nativists' and 'parade their moral superiority'.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The sentence contains an imperative mood, as it is giving a directive or command to 'call them nativists and parade their moral superiority.'""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The sentence contains an imperative mood, as it is giving a command or directive to 'call them nativists and parade their moral superiority.'""
}",['imperative'],1,['imperative']
1300,[1 7 9],"“This is a terrible situation and Attorney General Jeff Sessions should stop this Rigged Witch Hunt right now, before it continues to stain our country any further.",Mood,['indicative'],['indicative'],['indicative'],True,"['imperative', 'indicative']","{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The text contains an imperative statement, as it includes a command or directive to Attorney General Jeff Sessions.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The text contains an imperative statement, commanding Attorney General Jeff Sessions to stop the Rigged Witch Hunt.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The text contains an imperative, as it includes a directive or command calling for a specific action from Attorney General Jeff Sessions.""
}",['imperative'],True,"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The text contains an imperative mood as it includes a command or directive to Attorney General Jeff Sessions to stop the Rigged Witch Hunt.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The statement contains an imperative mood, as it includes a command or directive to Attorney General Jeff Sessions to stop the 'Rigged Witch Hunt' right now.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The text contains an imperative mood, as it includes a command or directive to Attorney General Jeff Sessions.""
}",['imperative'],1,['imperative']
1344,[7 7],“It’s time for our leaders in Washington to follow the lead of America’s mayors and put public safety over NRA priorities.”,Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The sentence contains an imperative mood as it is giving a directive or command to the leaders in Washington.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The example contains an imperative mood, as it is giving a directive or command to the leaders in Washington.""
}",['imperative'],"{
  ""Properties"": [
    ""imperative""
  ],
  ""Explanation"": ""The sentence contains an imperative verb 'follow' which is a command or directive.""
}",['imperative'],True,"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The sentence contains an imperative mood, as it is giving a command or directive to the leaders in Washington.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The sentence contains an imperative mood, as it is giving a directive or command to the leaders in Washington.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The sentence contains an imperative mood, as it is giving a command or directive to the leaders in Washington.""
}",['imperative'],1,['imperative']
3387,[ 8  9 13  8  9],"This will be a final victory over the enemies within and their apologists, such as Faggioli, who, in typical neo-Catholic style, imperiously scoffs at the notion of “a young clergy marked by personal sanctity but also by a fascination for a mythical Middle Ages” and busies himself defending an unsalvageable mass of corruption he dares to describe as “a Church-world relationship based on a principle of reality.”",Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The text contains an imperative command, 'This will be a final victory over the enemies within and their apologists,' directing action or making a demand.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The text contains an imperative sentence, as it includes a command or directive to 'defend' something.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The statement 'This will be a final victory over the enemies within and their apologists' is an imperative, expressing a command or directive.""
}",['imperative'],True,"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The text contains an imperative statement, commanding action or directive, as it calls for action against the enemies within and their apologists.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The text contains an imperative statement, commanding action or directive, as it calls for action against the enemies within and their apologists.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The text contains an imperative mood, as it includes a command or directive to focus on the destructive Radical Islamic Terrorism.""
}",['imperative'],1,['imperative']
3428,[9],One leaked official memo says: “Assange is going to make a nice bride in prison.,Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion, indicating a belief about Assange's future in prison.""
}",['indicative'],"{
  ""Properties"": [""exclamatory""],
  ""Explanation"": ""The statement expresses strong emotion and surprise, indicating an exclamatory mood.""
}",['exclamatory'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The statement expresses a simple fact or opinion about Assange's situation, indicating the use of the indicative mood.""
}",['indicative'],False,"{
  ""Properties"": [""indicative"", ""exclamatory""],
  ""Explanation"": ""The sentence expresses a simple statement of fact ('Assange is going to make a nice bride in prison') and also conveys a tone of strong emotion or surprise, making it both indicative and exclamatory.""
}","['indicative', 'exclamatory']","{
  ""Properties"": [""indicative"", ""exclamatory""],
  ""Explanation"": ""The sentence is in the indicative mood as it expresses a simple statement of fact. It is also exclamatory as it expresses strong emotion or surprise.""
}","['indicative', 'exclamatory']","{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The statement expresses a simple fact or opinion about Assange's future in prison.""
}",['indicative'],0,"['indicative', 'exclamatory']"
3611,[9],"Certainly not Corbyn or Assange, who threaten to disrupt the entrenched neoliberal order that is hurtling us towards climate breakdown and economic collapse.",Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""indicative"", ""imperative""],
  ""Explanation"": ""The sentence expresses a statement of fact ('Corbyn or Assange threaten to disrupt the entrenched neoliberal order') and includes a directive or command ('certainly not').""
}","['indicative', 'imperative']","{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The example uses the indicative mood to express a simple statement of fact or opinion about the current situation.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about Corbyn and Assange disrupting the neoliberal order.""
}",['indicative'],False,"{
  ""Properties"": [""indicative"", ""subjunctive""],
  ""Explanation"": ""The sentence expresses a statement of fact ('Corbyn or Assange threaten to disrupt the entrenched neoliberal order') and also expresses a hypothetical or imagined situation ('hurtling us towards climate breakdown and economic collapse').""
}","['indicative', 'subjunctive']","{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact or opinion about Corbyn and Assange threatening to disrupt the neoliberal order.""
}",['indicative'],"{
  ""Properties"": [""indicative"", ""imperative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact (indicative) and also contains a directive or command (imperative) to not focus on certain individuals.""
}","['indicative', 'imperative']",0,"['indicative', 'subjunctive']"
3785,[10],“When something is coming up and down or at least from a different angle they are either going to hit the ground or… alot of different things are going to happen.,Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'going to' and 'are going to' expresses what is hypothetical or possible, indicating the use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [
    ""subjunctive"",
    ""indicative""
  ],
  ""Explanation"": ""The use of 'are going to' expresses a sense of what is imagined or possible (subjunctive mood), while the rest of the sentence is expressing a simple statement of fact or opinion (indicative mood).""
}","['subjunctive', 'indicative']","{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'are going to' expresses a possibility or hypothetical situation, indicating the use of the subjunctive mood.""
}",['subjunctive'],False,"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'are going to' expresses a sense of what is imagined or hypothetical, indicating the use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact or opinion about what will happen when something is coming up and down or from a different angle.""
}",['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'are going to' expresses a hypothetical or possible situation, indicating the use of the subjunctive mood.""
}",['subjunctive'],0,['subjunctive']
3789,[ 8 10 13],"Unlike previous administrations, my administration has and will continue to move aggressively to repeal any efforts – and repel – we will stop it, we will repel it – any efforts to interfere in our elections.",Mood,['indicative'],['indicative'],['indicative'],True,"['imperative', 'indicative']","{
  ""Properties"": [
    ""indicative"",
    ""imperative""
  ],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact, and the imperative mood to issue a command or directive.""
}","['indicative', 'imperative']","{
  ""Properties"": [""indicative"", ""imperative""],
  ""Explanation"": ""The statement 'my administration has and will continue to move aggressively to repeal any efforts' uses the indicative mood to express a simple statement of fact. The phrase 'we will stop it, we will repel it' uses the imperative mood to give a directive or command.""
}","['indicative', 'imperative']","{
  ""Properties"": [
    ""indicative"",
    ""imperative""
  ],
  ""Explanation"": ""The statement uses the indicative mood to express a fact or opinion about the administration's actions. It also includes imperative mood to issue a command or directive to 'stop it' and 'repel' any efforts to interfere in the elections.""
}","['indicative', 'imperative']",True,"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The use of 'we will stop it' and 'we will repel it' indicates the imperative mood, expressing commands or directives.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The text contains the imperative mood, as it includes a command or directive to 'stop it' and 'repel it'.""
}",['imperative'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The use of 'we will stop it' and 'we will repel it' expresses a directive or command, indicating the use of the imperative mood.""
}",['imperative'],1,['imperative']
3796,[11 17],"Let me just remind them, they are themselves under investigation by a special prosecutor in Washington D.C. and they may soon avail themselves of the presumption of innocence beyond a reasonable doubt, so I ask that they reflect on that before they comment or disparage the results of this case.”",Mood,['indicative'],['indicative'],['indicative'],True,"['imperative', 'indicative']","{
  ""Properties"": [
    ""subjunctive"",
    ""imperative""
  ],
  ""Explanation"": ""The use of 'may soon avail themselves' expresses a hypothetical or possible situation, indicating the use of subjunctive mood. Additionally, the use of 'I ask that they reflect' is a directive or command, indicating the use of imperative mood.""
}","['subjunctive', 'imperative']","{
  ""Properties"": [
    ""imperative"",
    ""subjunctive""
  ],
  ""Explanation"": ""The use of 'reflect' in 'I ask that they reflect on that before they comment' indicates the imperative mood, conveying a directive. The phrase 'they may soon avail themselves of the presumption of innocence beyond a reasonable doubt' indicates the subjunctive mood, expressing a possibility or hypothetical situation.""
}","['imperative', 'subjunctive']","{
  ""Properties"": [
    ""imperative"",
    ""subjunctive""
  ],
  ""Explanation"": ""The text contains an imperative mood in the form of a polite request, 'I ask that they reflect on that before they comment or disparage the results of this case.' Additionally, the use of 'may' in 'and they may soon avail themselves' indicates the subjunctive mood expressing a possibility or hypothetical situation.""
}","['imperative', 'subjunctive']",False,"{
  ""Properties"": [""imperative"", ""subjunctive""],
  ""Explanation"": ""The text contains an imperative command 'reflect on that' and also expresses a hypothetical or possible situation using the subjunctive mood 'they may soon avail themselves'.""
}","['imperative', 'subjunctive']","{
  ""Properties"": [""imperative"", ""subjunctive""],
  ""Explanation"": ""The text contains an imperative mood with the use of 'reflect' as a directive. It also includes the subjunctive mood with the use of 'may soon avail' expressing a hypothetical or possible situation.""
}","['imperative', 'subjunctive']","{
  ""Properties"": [""imperative"", ""subjunctive""],
  ""Explanation"": ""The text contains an imperative mood in the form of a request or command ('I ask that they reflect on that before they comment or disparage the results of this case'). It also includes the subjunctive mood, expressing what is hypothetical or possible ('they may soon avail themselves of the presumption of innocence beyond a reasonable doubt').""
}","['imperative', 'subjunctive']",1,"['imperative', 'subjunctive']"
3814,[12],"It’s as if the U.S. Army stopped to interrogate every German soldier who crashed through the Ardennes Forest at the beginning of the Battle of the Bulge in 1944, to see if each one’s actions had anything to do with the German Army and Adolf Hitler’s war aims.",Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""indicative"", ""interrogative""],
  ""Explanation"": ""The text contains an indicative mood to express a simple statement of fact, as well as an interrogative mood to ask a question.""
}","['indicative', 'interrogative']","{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact or opinion about the U.S. Army's actions during the Battle of the Bulge.""
}",['indicative'],"{
  ""Properties"": [""indicative"", ""interrogative""],
  ""Explanation"": ""The text contains the indicative mood as it expresses a simple statement of fact or opinion, and the interrogative mood as it asks a question.""
}","['indicative', 'interrogative']",False,"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'as if' indicates a hypothetical or imagined scenario, suggesting the use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""indicative"", ""interrogative""],
  ""Explanation"": ""The text contains the indicative mood as it expresses a simple statement of fact or opinion. It also includes the interrogative mood as it asks a question.""
}","['indicative', 'interrogative']","{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'as if' indicates a hypothetical or imagined scenario, which aligns with the subjunctive mood.""
}",['subjunctive'],0,['subjunctive']
3819,[ 1 12],"And so Chris Bryant, “a senior Labour backbencher, has written to May urging her to go further, and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism and his presence is ‘not conducive to the public good’, a senior Labour MP has said.”",Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""indicative"", ""imperative""],
  ""Explanation"": ""The text is in the indicative mood as it expresses a simple statement of fact or opinion. It also contains an imperative mood as it includes a directive or command ('urge her to go further, and issue an official ban').""
}","['indicative', 'imperative']","{
  ""Properties"": [""subjunctive"", ""imperative""],
  ""Explanation"": ""The passage includes a subjunctive mood in the form of a suggestion or recommendation ('urging her to go further'), and an imperative mood in the form of a directive ('issue an official ban on Donald Trump').""
}","['subjunctive', 'imperative']","{
  ""Properties"": [""subjunctive"", ""imperative""],
  ""Explanation"": ""The use of 'urging', 'ban', and 'go further' indicates the subjunctive mood, expressing a suggestion or recommendation. Additionally, the phrase 'issue an official ban' is in the imperative mood, giving a directive.""
}","['subjunctive', 'imperative']",False,"{
  ""Properties"": [""subjunctive"", ""imperative""],
  ""Explanation"": ""The text contains the subjunctive mood as it expresses a hypothetical situation or suggestion ('urging her to go further, and issue an official ban on Donald Trump from entering the UK'). Additionally, it includes the imperative mood as it issues a directive or command ('urging her to go further, and issue an official ban on Donald Trump from entering the UK').""
}","['subjunctive', 'imperative']","{
  ""Properties"": [""subjunctive"", ""imperative""],
  ""Explanation"": ""The use of 'urging' and 'issue' indicates the subjunctive mood, expressing a suggestion or recommendation. Additionally, the phrase 'has written to May urging her to go further' contains an imperative mood, giving a directive or command.""
}","['subjunctive', 'imperative']","{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'urging', 'issue', and 'is' in the context of a suggestion and hypothetical situation indicates the use of the subjunctive mood.""
}",['subjunctive'],0,"['subjunctive', 'imperative']"
3820,[ 1 12],"…Chris Bryant, a senior Labour backbencher, has written to May urging her to go further, and issue an official ban on Donald Trump from entering the UK on the grounds he is condoning fascism and his presence is “not conducive to the public good”, a senior Labour MP has said.",Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'urging' and 'issue' indicates a subjunctive mood, expressing a suggestion or recommendation.""
}",['subjunctive'],"{
  ""Properties"": [
    ""subjunctive"",
    ""imperative""
  ],
  ""Explanation"": ""The use of 'urging' and 'to go further' indicates the subjunctive mood, expressing a suggestion or recommendation. The phrase 'issue an official ban' is in the imperative mood, giving a command or directive.""
}","['subjunctive', 'imperative']","{
  ""Properties"": [""subjunctive"", ""imperative""],
  ""Explanation"": ""The use of 'urging' and 'issue an official ban' indicates the subjunctive mood expressing recommendations and the imperative mood expressing a directive or command.""
}","['subjunctive', 'imperative']",False,"{
  ""Properties"": [""subjunctive"", ""imperative""],
  ""Explanation"": ""The use of 'urging' and 'go further' indicates the subjunctive mood, expressing a suggestion or recommendation. Additionally, the phrase 'issue an official ban' is in the imperative mood, conveying a directive or command.""
}","['subjunctive', 'imperative']","{
  ""Properties"": [""subjunctive"", ""imperative""],
  ""Explanation"": ""The use of 'urging' and 'issue' indicates the subjunctive mood, expressing a recommendation or suggestion. Additionally, the phrase 'urging her to go further' contains an imperative mood, giving a directive or command.""
}","['subjunctive', 'imperative']","{
  ""Properties"": [""indicative"", ""imperative""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact or opinion ('has written', 'has said'). It also includes an imperative mood to convey a directive or command ('urging her to go further, and issue an official ban').""
}","['indicative', 'imperative']",0,"['subjunctive', 'imperative']"
3824,[ 7 12],"This “I’m offended” or “his gun scares me” complaint is nothing but cover for little Nazis to try and deny another person their Natural, God-given liberty.",Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text contains a simple statement of fact or opinion without expressing hypothetical or possible situations, suggestions, recommendations, advice, demands, wishes, doubts, surprise, or strong emotion.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact or opinion, without expressing a hypothetical or possible situation, command, wish, or question.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text uses indicative mood to express a simple statement of fact or opinion about the situation.""
}",['indicative'],True,"{
  ""Properties"": [""indicative"", ""exclamatory""],
  ""Explanation"": ""The statement expresses a simple opinion ('is nothing but cover for little Nazis to try and deny another person their Natural, God-given liberty') and also conveys strong emotion ('I’m offended' and 'his gun scares me').""
}","['indicative', 'exclamatory']","{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text expresses a simple statement of fact or opinion without any hypothetical or possible scenarios, suggestions, recommendations, advice, demands, wishes, doubts, surprise, strong emotion, or pain. It is a straightforward assertion.""
}",['indicative'],"{
  ""Properties"": [""indicative"", ""exclamatory""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of fact or opinion, and it also includes an exclamatory expression to convey strong emotion.""
}","['indicative', 'exclamatory']",0,"['indicative', 'exclamatory']"
3828,[12],There could be only one answer: communists.,Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""exclamatory""],
  ""Explanation"": ""The statement 'There could be only one answer: communists!' is exclamatory in nature, expressing strong emotion.""
}",['exclamatory'],"{
  ""Properties"": [""exclamatory""],
  ""Explanation"": ""The statement 'There could be only one answer' is expressing a strong emotion, indicating surprise or emphasis, which classifies it as exclamatory mood.""
}",['exclamatory'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The use of the word 'could' indicates a possibility or potentiality, but the structure 'There could be only one answer' functions as a command or directive, making it an imperative mood.""
}",['imperative'],False,"{
  ""Properties"": [""exclamatory""],
  ""Explanation"": ""The statement 'There could be only one answer: communists.' is exclamatory in nature, expressing a strong opinion or assertion.""
}",['exclamatory'],"{
  ""Properties"": [""exclamatory""],
  ""Explanation"": ""The statement 'There could be only one answer: communists.' is exclamatory in nature, expressing a strong emotion or assertion.""
}",['exclamatory'],"{
  ""Properties"": [""exclamatory""],
  ""Explanation"": ""The statement 'There could be only one answer: communists.' is exclamatory in nature, expressing a strong opinion or assertion.""
}",['exclamatory'],1,['exclamatory']
3837,[12  9],Exactly what this “special need” is that can constitute a Gestapo like police state surveilling its own citizens is a moving target that has already been proven to be abused over and over again.,Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The text contains an interrogative sentence asking a question ('what this 'special need' is that can constitute a Gestapo like police state surveilling its own citizens').""
}",['interrogative'],"{
  ""Properties"": [""interrogative"", ""indicative""],
  ""Explanation"": ""The use of 'what' at the beginning of the sentence indicates an interrogative mood, and the overall tone of the sentence expresses a simple statement of fact or opinion, indicating the indicative mood.""
}","['interrogative', 'indicative']","{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The sentence is asking a question about the nature of the 'special need' that can lead to a police state, making use of the interrogative mood.""
}",['interrogative'],False,"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The text contains an interrogative mood as it asks a question about the nature of a 'special need' that can lead to a police state surveilling its citizens.""
}",['interrogative'],"{
  ""Properties"": [""interrogative""],
  ""Explanation"": ""The text contains an interrogative mood as it asks a question about the nature of a 'special need' that can lead to a surveillance state.""
}",['interrogative'],"{
  ""Properties"": [""interrogative"", ""indicative""],
  ""Explanation"": ""The text contains an interrogative mood as it asks a question ('what this 'special need' is that can constitute a Gestapo like police state surveilling its own citizens?'). It also contains the indicative mood as it expresses a simple statement of fact or opinion ('is a moving target that has already been proven to be abused over and over again.').""
}","['interrogative', 'indicative']",0,['interrogative']
3895,[13],Impossible.,Mood,['indicative'],['indicative'],['indicative'],True,['exclamatory'],"{
  ""Properties"": [""exclamatory""],
  ""Explanation"": ""The use of the word 'impossible' expresses strong emotion and disbelief, indicating an exclamatory mood.""
}",['exclamatory'],"{
  ""Properties"": [""exclamatory""],
  ""Explanation"": ""The text contains an exclamatory sentence, expressing strong emotion or emphasis.""
}",['exclamatory'],"{
  ""Properties"": [""imperative""],
  ""Explanation"": ""The statement 'Impossible' is an example of an imperative mood, expressing a command or directive.""
}",['imperative'],False,"{
  ""Properties"": [""exclamatory""],
  ""Explanation"": ""The text contains an exclamation expressing strong emotion or surprise.""
}",['exclamatory'],"{
  ""Properties"": [""exclamatory""],
  ""Explanation"": ""The text contains an exclamatory statement expressing strong emotion or surprise.""
}",['exclamatory'],"{
  ""Properties"": [""exclamatory""],
  ""Explanation"": ""The text contains an exclamatory expression, indicating strong emotion or surprise.""
}",['exclamatory'],1,['exclamatory']
4024,[13],"Specifically, one executive suggests paying for the rides of Latinos to get them to the polls — if they vote for Clinton, that is.",Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'if' in the sentence suggests a hypothetical or conditional scenario, making it a clear example of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'if' in the sentence expresses a hypothetical or possible scenario, indicating the use of the subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'if' introduces a hypothetical scenario, suggesting a potential action based on a condition. This falls under the realm of the subjunctive mood.""
}",['subjunctive'],True,"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'if' in the sentence indicates a hypothetical or possible scenario, making it subjunctive mood.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'if' in the sentence indicates a hypothetical or possible scenario, making it subjunctive.""
}",['subjunctive'],"{
  ""Properties"": [""subjunctive""],
  ""Explanation"": ""The use of 'if' in the sentence indicates a hypothetical or possible scenario, making it subjunctive mood.""
}",['subjunctive'],1,['subjunctive']
4206,[13],"A Muslim terrorist stabbed four people at a train station near Munich while screaming, “Allahu Akbar”.",Mood,['indicative'],['indicative'],['indicative'],True,['indicative'],"{
  ""Properties"": [""indicative"", ""exclamatory""],
  ""Explanation"": ""The sentence expresses a simple statement of fact (indicative) and also conveys strong emotion through the use of exclamation ('Allahu Akbar').""
}","['indicative', 'exclamatory']","{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The sentence expresses a simple statement of fact without any hypothetical or expressive elements.""
}",['indicative'],"{
  ""Properties"": [""indicative""],
  ""Explanation"": ""The text uses the indicative mood to express a simple statement of a fact or opinion regarding the incident.""
}",['indicative'],False,"{
  ""Properties"": [""indicative"", ""exclamatory""],
  ""Explanation"": ""The sentence expresses a simple statement of fact (indicative) and also conveys strong emotion or surprise (exclamatory) through the use of the exclamation mark and the description of the terrorist's actions.""
}","['indicative', 'exclamatory']","{
  ""Properties"": [""indicative"", ""exclamatory""],
  ""Explanation"": ""The sentence expresses a simple statement of fact (indicative) and also conveys strong emotion or surprise (exclamatory) through the use of the exclamation mark and the description of the terrorist's action.""
}","['indicative', 'exclamatory']","{
  ""Properties"": [""indicative"", ""exclamatory""],
  ""Explanation"": ""The sentence expresses a simple statement of fact (indicative) and also conveys strong emotion through the use of an exclamation ('Allahu Akbar').""
}","['indicative', 'exclamatory']",1,"['indicative', 'exclamatory']"
